## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.modelSpecCode,entity.grade,entity.fullColour,entity.filteringColour,entity.fuelType,entity.transmission,entity.driveTrain,entity.interiorColor,entity.exteriorColor,entity.versionCode,entity.versionDescription,entity.dealerId,entity.dealerName,entity.eimCode,entity.filterCollectionValue
JN1T33JB3U0009077,All-New X-Trail,,,,47525,,1,,29738,Tekna,KAYG,Champagne Silver,Petrol / Electric,Automatic,2WD,,,H61GIFGC1,e-POWER 213 Automatic 4WD e-4ORCE Tekna,51893,Trenton (Grimsby),JDNNRG9T33TEA-PXF-,Mayank
SJNFAAZE1U0198637,LEAF,,,,28790,,1,,29535,Shiro,326G,Arctic White Paint,Electric,Automatic,2WD,,,E5X569S40,Battery 39kWh AT 2WD Shiro,51822,Macklin Motors Glasgow South,FSDARE9ZE16ED-JFJ-,Mayank
SJNFAAF16U1296781,Juke,,,,25210,,1,,29898,N-Connecta,KADG,Gun Metallic,Petrol,Manual,2WD,,,F93BI3F01,DIG-T 114 6MT 2WD N-Connecta,51666,Glyn Hopkin Ltd,FRNARUYF16UEBHUBR-,Mayank
SJNFAAF16U1281215,Juke,,,,24835,,1,,29898,N-Connecta,326G,Arctic White,Petrol,Manual,2WD,,,F93BI3F01,DIG-T 114 6MT 2WD N-Connecta,51925,Marshall Ashford,FRNARUYF16UEBHUBR-,Mayank
SJNFAAF16U1296864,Juke,,,,26960,,1,,29898,Tekna,NBVG,Fuji Sunset Red,Petrol,Manual,2WD,,,F94BI3G01,DIG-T 114 6MT 2WD Tekna,51929,Barnetts Dundee,FRNARVYF16UEBLTDRD,Mayank
SJNFAAF16U1296980,Juke,,,,28210,,1,,29898,Tekna,KY0G,Blade Silver,Petrol,Automatic,2WD,,,F94BI7G01,DIG-T 114 DCT7 2WD Tekna,51044,Bristol Street Motors Widnes,FRNARVLF16UEBLTDRC,Mayank
SJNFCAF16U1296672,Juke,,,,28955,,1,,29898,N-Connecta,KBYG,Ceramic Grey,Petrol / Electric,Automatic,2WD,,,F94HIHF01,Hybrid 143 2WD N-Connecta,51863,Greenhous Shrewsbury,FDTARUXF16HEB6UBR-,Mayank
SJNFCAF16U1295401,Juke,,,,28955,,1,,29898,N-Connecta,NBVG,Fuji Sunset Red,Petrol / Electric,Automatic,2WD,,,F94HIHF01,Hybrid 143 2WD N-Connecta,51889,Macklin Motors Glasgow Central,FDTARUXF16HEB6UBR-,Mayank
SJNFCAF16U1295299,Juke,,,,31280,,1,,29898,Tekna+,XEEZ,Two Tone: Burgundy with Blade Silver Roof and door mirrors,Petrol / Electric,Automatic,2WD,,,F94HIHHA1,Hybrid 143 2WD Tekna+,51893,Trenton (Grimsby),FDTARWXF16HEB4TDUP,Mayank
SJNTAAJ12U1394649,Qashqai,,,,33435,,1,,29594,N-Connecta,QABG,Storm White,Petrol,Manual,2WD,,,G83EG3F10,DIG-T 140 Mild Hybrid Manual 2WD N-Connecta,51858,Bristol Street Motors,TDZAREYJ12TEBB-3E-,Mayank
SJNTAAJ12U1394643,Qashqai,,,,38685,,1,,29594,Tekna+,NBVB,Fuji Sunset Red,Petrol,Manual,2WD,,,G83EH3H00,DIG-T 158 Mild Hybrid Manual 2WD Tekna+,51214,Hurst Nissan Centre,TDZARJYJ12UEBTJW--,Mayank
SJNTAAJ12U1399162,Qashqai,,,,34210,,1,,29594,N-Connecta,Z10G,Flame Red,Petrol,Automatic,2WD,,,G83EH7F10,DIG-T 158 Mild Hybrid Xtronic 2WD N-Connecta,51607,Hendy,TDZAREWJ12UEB--3--,Mayank
SJNTAAJ12U1398753,Qashqai,,,,34835,,1,,29594,N-Connecta,Z11G,Pearl Black,Petrol,Automatic,2WD,,,G83EH7F10,DIG-T 158 Mild Hybrid Xtronic 2WD N-Connecta,51849,Bristol Street Motors Bradford,TDZAREWJ12UEB--3--,Mayank
SJNTAAJ12U1398841,Qashqai,,,,34835,,1,,29594,N-Connecta,Z11G,Pearl Black,Petrol,Automatic,2WD,,,G83EH7F10,DIG-T 158 Mild Hybrid Xtronic 2WD N-Connecta,51876,Glyn Hopkin Ltd,TDZAREWJ12UEB--3--,Mayank
SJNTBAJ12U1389992,Qashqai,,,,36935,,1,,29594,N-Connecta,QABG,Storm White,Petrol / Electric,Automatic,2WD,,,G83GIEF10,190 e-POWER Automatic 2WD N-Connecta,51136,Canterbury Motors,TDNARE9J12HEB--3--,Mayank
SJNTBAJ12U1394475,Qashqai,,,,36840,,1,,29594,N-Connecta,Z10G,Flame Red,Petrol / Electric,Automatic,2WD,,,G83GIEF10,190 e-POWER Automatic 2WD N-Connecta,51096,Wilsons Autos & Coachworks Ltd,TDNARE9J12HEBB-3--,Mayank
SJNTBAJ12U1387261,Qashqai,,,,41065,,1,,29594,Tekna,XFVB,Two Tone Magnetic Blue & Pearl Black Roof,Petrol / Electric,Automatic,2WD,,,G83GIEG00,190 e-POWER Automatic 2WD Tekna,51737,J Edgar & Son,TDNARG9J12HEBBARDM,Mayank
JN1T33TC8U0003331,All-New X-Trail,,,,38015,,1,,29738,N-Connecta,KADG,Gun Metallic,Petrol,Automatic,2WD,,,H61GG7FC1,VC-Turbo 163 Xtronic 2WD N-Connecta,51893,Trenton (Grimsby),TDNAREWT33TEA-G---,Mayank
JN1T33TC2U0003342,All-New X-Trail,,,,38015,,1,,29738,N-Connecta,KAYG,Champagne Silver,Petrol,Automatic,2WD,,,H61GG7FC1,VC-Turbo 163 Xtronic 2WD N-Connecta,51848,Bristol Street Motors Ilkeston,TDNAREWT33TEA-G---,Mayank
JN1T33TC9U0003287,All-New X-Trail,,,,39040,,1,,29738,N-Connecta,XEXG,Two-Tone Ceramic Grey with Black Metallic Roof,Petrol,Automatic,2WD,,,H61GG7FC1,VC-Turbo 163 Xtronic 2WD N-Connecta,51893,Trenton (Grimsby),TDNAREWT33TEA-G--E,Mayank
JN1T33JC8U0002795,All-New X-Trail,,,,39015,,1,,29738,N-Connecta,KAYG,Champagne Silver,Petrol,Automatic,2WD,,,H61GG7FC1,VC-Turbo 163 Xtronic 2WD N-Connecta,51688,Glyn Hopkin Ltd,JDNAREWT33TEA-G---,Mayank
JN1T33JC8U0002747,All-New X-Trail,,,,39015,,1,,29738,N-Connecta,KAYG,Champagne Silver,Petrol,Automatic,2WD,,,H61GG7FC1,VC-Turbo 163 Xtronic 2WD N-Connecta,51107,Crosby Park Nissan,JDNAREWT33TEA-G---,Mayank
JN1T33TAXU0014989,All-New X-Trail,,,,40535,,1,,29738,N-Connecta,KBYG,Ceramic Grey,Petrol / Electric,Automatic,2WD,,,H61GHEFC1,e-POWER 204 Automatic 2WD N-Connecta,51963,West Way Wolverhampton,TDNARE9T33TEA-G---,Mayank
JN1T33JB9U0007219,All-New X-Trail,,,,40910,,1,,29738,Acenta Premium,KBYG,Ceramic Grey,Petrol / Electric,Automatic,2WD,,,H61GIFEC1,e-POWER 213 Automatic 4WD e-4ORCE Acenta Premium,51863,Greenhous Shrewsbury,JDNNRD9T33TEA-----,Mayank
JN1T33JB5U0008562,All-New X-Trail,,,,43615,,1,,29738,N-Connecta,KAYG,Champagne Silver,Petrol / Electric,Automatic,2WD,,,H61GIFFC1,e-POWER 213 Automatic 4WD e-4ORCE N-Connecta,51051,Lookers Newcastle,JDNNRE9T33TEA-G---,Mayank
JN1T33JB0U0008663,All-New X-Trail,,,,43615,,1,,29738,N-Connecta,RBYG,Electric Blue,Petrol / Electric,Automatic,2WD,,,H61GIFFC1,e-POWER 213 Automatic 4WD e-4ORCE N-Connecta,51937,Cars2 Huddersfield,JDNNRE9T33TEA-G---,Mayank
JN1T33JB9U0008564,All-New X-Trail,,,,45130,,1,,29738,N-Connecta,XEWG,Two-Tone Champagne Silver with Black Metallic Roof,Petrol / Electric,Automatic,2WD,,,H61GIFFC1,e-POWER 213 Automatic 4WD e-4ORCE N-Connecta,51096,Wilsons Autos & Coachworks Ltd,JDNNRE9T33TEA-GD--,Mayank
JN1T33JB6U0008599,All-New X-Trail,,,,47455,,1,,29738,Tekna,XEWG,Two-Tone Champagne Silver with Black Metallic Roof,Petrol / Electric,Automatic,2WD,,,H61GIFGC1,e-POWER 213 Automatic 4WD e-4ORCE Tekna,51096,Wilsons Autos & Coachworks Ltd,JDNNRG9T33TEA-PX--,Mayank
JN1T33TB5U0013239,All-New X-Trail,,,,48605,,1,,29738,Tekna+,KADG,Gun Metallic,Petrol / Electric,Automatic,2WD,,,H61GIFHC1,e-POWER 213 Automatic 4WD e-4ORCE Tekna+,51863,Greenhous Shrewsbury,TDNNRG9T33TEA-PTFD,Mayank
JN1TBAFE0U0306706,Ariya,,,,50185,,1,,29595,87kWh ADVANCE,GATG,Pearl Black,Electric,Automatic,2WD,,,R11337V01,87kWh ADVANCE,51096,Wilsons Autos & Coachworks Ltd,TSGARD9FE0BEADAC-C,Mayank
JN1TBAFE0U0306289,Ariya,,,,50065,,1,,29595,87kWh ADVANCE,KADG,Gun Metallic,Electric,Automatic,2WD,,,R11337V01,87kWh ADVANCE,51529,Brindley Nissan,TSGARD9FE0BEADAC-C,Mayank
JN1TBAFE0U0306662,Ariya,,,,50065,,1,,29595,87kWh ADVANCE,KADG,Gun Metallic,Electric,Automatic,2WD,,,R11337V01,87kWh ADVANCE,51858,Bristol Street Motors,TSGARD9FE0BEADAC-C,Mayank
JN1TBAFE0U0306575,Ariya,,,,50065,,1,,29595,87kWh ADVANCE,KADG,Gun Metallic,Electric,Automatic,2WD,,,R11337V01,87kWh ADVANCE,51850,Bristol Street Motors Derby,TSGARD9FE0BEADAC-C,Mayank
JN1TBAFE0U0306651,Ariya,,,,50715,,1,,29595,87kWh ADVANCE,XGJG,Two-Tone: Akatsuki Copper with Pearl Black roof and doors mirrors,Electric,Automatic,2WD,,,R11337V01,87kWh ADVANCE,51051,Lookers Newcastle,TSGARD9FE0BEADAC-C,Mayank
JN1TDNFE0U0103152,Ariya,,,,52885,,1,,29595,e-4ORCE 87kWh ADVANCE,KBYG,Ceramic Grey,Electric,Automatic,2WD,,,R11438V01,e-4ORCE 87kWh ADVANCE,51529,Brindley Nissan,TSGNRD9FE0BECDAC-A,Mayank
SJNFAAZE1U0198190,LEAF,,,,30230,,1,,29535,Acenta,RCJG,Blue Pearl,Electric,Automatic,2WD,,,E5X569D41,Battery 39kWh AT 2WD Acenta,51538,Wessex Garages Cardiff,FSDARD9ZE16EDB--MC,Mayank
SJNFAAZE1U0198331,LEAF,,,,30230,,1,,29535,Acenta,RCJG,Blue Pearl,Electric,Automatic,2WD,,,E5X569D41,Battery 39kWh AT 2WD Acenta,51538,Wessex Garages Cardiff,FSDARD9ZE16EDB--MC,Mayank
SJNFAAZE1U0196085,LEAF,,,,29740,,1,,29535,Acenta,QABG,Storm White,Electric,Automatic,2WD,,,E5X569D41,Battery 39kWh AT 2WD Acenta,51458,Park's (East Kilbride),FSDARD9ZE16ED---MB,Mayank
SJNFAAZE1U0191261,LEAF,,,,29740,,1,,29535,Acenta,RCJG,Blue Pearl,Electric,Automatic,2WD,,,E5X569D41,Battery 39kWh AT 2WD Acenta,51921,EMG Motor Group,FSDARD9ZE16ED---MB,Mayank
SJNFAAZE1U0191298,LEAF,,,,30020,,1,,29535,Acenta,KADG,Gun Metallic,Electric,Automatic,2WD,,,E5X569D41,Battery 39kWh AT 2WD Acenta,51863,Greenhous Shrewsbury,FSDARD9ZE16ED--BMB,Mayank
SJNFAAZE1U0198592,LEAF,,,,30035,,1,,29535,Acenta,QABG,Storm White,Electric,Automatic,2WD,,,E5X569D41,Battery 39kWh AT 2WD Acenta,51538,Wessex Garages Cardiff,FSDARD9ZE16EDB--MB,Mayank
SJNFAAZE1U0193639,LEAF,,,,30035,,1,,29535,Acenta,QABG,Storm White,Electric,Automatic,2WD,,,E5X569D41,Battery 39kWh AT 2WD Acenta,51632,Fish Brothers Nissan,FSDARD9ZE16ED---JB,Mayank
SJNFAAZE1U0191078,LEAF,,,,29865,,1,,29535,Acenta,Z11G,Pearl Black,Electric,Automatic,2WD,,,E5X569D41,Battery 39kWh AT 2WD Acenta,51784,Retail Group Liverpool,FSDARD9ZE16ED---JB,Mayank
SJNFAAZE1U0187240,LEAF,,,,31070,,1,,29535,N-Connecta,KADG,Gun Metallic,Electricity,Automatic,2WD,,,E5X569F41,Battery 39kWh AT 2WD N-Connecta,51929,Barnetts Dundee,FSDARE9ZE16ED-J-M-,Mayank
SJNFAAZE1U0187411,LEAF,,,,31070,,1,,29535,N-Connecta,KADG,Gun Metallic,Electricity,Automatic,2WD,,,E5X569F41,Battery 39kWh AT 2WD N-Connecta,51802,Western,FSDARE9ZE16ED-J-M-,Mayank
SJNFAAZE1U0187482,LEAF,,,,31070,,1,,29535,N-Connecta,KADG,Gun Metallic,Electricity,Automatic,2WD,,,E5X569F41,Battery 39kWh AT 2WD N-Connecta,51214,Hurst Nissan Centre,FSDARE9ZE16ED-J-M-,Mayank
SJNFAAZE1U0187559,LEAF,,,,31070,,1,,29535,N-Connecta,KADG,Gun Metallic,Electricity,Automatic,2WD,,,E5X569F41,Battery 39kWh AT 2WD N-Connecta,51757,Wylam Garage Ltd,FSDARE9ZE16ED-J-M-,Mayank
SJNFAAZE1U0187605,LEAF,,,,31240,,1,,29535,N-Connecta,RCJG,Blue Pearl,Electricity,Automatic,2WD,,,E5X569F41,Battery 39kWh AT 2WD N-Connecta,51577,Holdcroft Nissan,FSDARE9ZE16ED-J-M-,Mayank
SJNFAAZE1U0187301,LEAF,,,,30495,,1,,29535,N-Connecta,Z10G,Flame Red,Electricity,Automatic,2WD,,,E5X569F41,Battery 39kWh AT 2WD N-Connecta,51084,Evans Halshaw,FSDARE9ZE16ED-J-M-,Mayank
SJNFAAZE1U0194062,LEAF,,,,31365,,1,,29535,N-Connecta,KADG,Gun Metallic,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51793,S.G. Petch,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0191483,LEAF,,,,31365,,1,,29535,N-Connecta,KADG,Gun Metallic,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51969,Yeomans,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0193222,LEAF,,,,31365,,1,,29535,N-Connecta,KADG,Gun Metallic,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51607,Hendy,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0190203,LEAF,,,,31365,,1,,29535,N-Connecta,KADG,Gun Metallic,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51802,Western,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0191417,LEAF,,,,31365,,1,,29535,N-Connecta,KADG,Gun Metallic,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51734,Hendy,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0195949,LEAF,,,,31365,,1,,29535,N-Connecta,KADG,Gun Metallic,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51060,Polesworth Garage Limited,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0193716,LEAF,,,,31365,,1,,29535,N-Connecta,KADG,Gun Metallic,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51615,Toomey Nissan (Southend),FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0193842,LEAF,,,,31365,,1,,29535,N-Connecta,KADG,Gun Metallic,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51383,Toomey Nissan Ltd,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0202924,LEAF,,,,31365,,1,,29535,N-Connecta,KADG,Gun Metallic,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51637,Chorley Nissan (Wigan),FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0203022,LEAF,,,,31365,,1,,29535,N-Connecta,KADG,Gun Metallic,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51575,Desira Nissan,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0182949,LEAF,,,,31535,,1,,29535,N-Connecta,QABG,Storm White,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51863,Greenhous Shrewsbury,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0194476,LEAF,,,,31535,,1,,29535,N-Connecta,QABG,Storm White,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51549,F J Chalke Ltd,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0196186,LEAF,,,,31535,,1,,29535,N-Connecta,QABG,Storm White,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51615,Toomey Nissan (Southend),FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0200227,LEAF,,,,31535,,1,,29535,N-Connecta,RCJG,Blue Pearl,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51890,Western (Stirling),FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0194740,LEAF,,,,31535,,1,,29535,N-Connecta,RCJG,Blue Pearl,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51731,Western Edinburgh (Straiton),FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0191145,LEAF,,,,31885,,1,,29535,N-Connecta,XDFG,Two-tone: Storm White body with Pearl Black roof and door mirrors,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51970,W.R.Davies,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0193249,LEAF,,,,31885,,1,,29535,N-Connecta,XFUG,Two-tone: Ceramic Grey with Pearl Black roof and door mirrors,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51858,Bristol Street Motors,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0192487,LEAF,,,,31885,,1,,29535,N-Connecta,XFUG,Two-tone: Ceramic Grey with Pearl Black roof and door mirrors,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51911,W R Davies,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0191390,LEAF,,,,31885,,1,,29535,N-Connecta,XFVG,Two-tone: Magnetic Blue with Pearl Black roof and door mirrors,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51958,West Way Manchester,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0204731,LEAF,,,,31885,,1,,29535,N-Connecta,XFVG,Two-tone: Magnetic Blue with Pearl Black roof and door mirrors,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51945,Marshall Leicester,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0201931,LEAF,,,,31885,,1,,29535,N-Connecta,XFVG,Two-tone: Magnetic Blue with Pearl Black roof and door mirrors,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51538,Wessex Garages Cardiff,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0191081,LEAF,,,,30790,,1,,29535,N-Connecta,Z10G,Flame Red,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51784,Retail Group Liverpool,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0180948,LEAF,,,,31365,,1,,29535,N-Connecta,Z11G,Pearl Black,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51863,Greenhous Shrewsbury,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0182699,LEAF,,,,31365,,1,,29535,N-Connecta,Z11G,Pearl Black,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51863,Greenhous Shrewsbury,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0189470,LEAF,,,,31365,,1,,29535,N-Connecta,Z11G,Pearl Black,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51632,Fish Brothers Nissan,FSDARE9ZE16EDB--J-,Mayank
SJNFAAZE1U0191497,LEAF,,,,31365,,1,,29535,N-Connecta,Z11G,Pearl Black,Electric,Automatic,2WD,,,E5B569FW41,Battery 39kWh AT 2WD N-Connecta,51969,Yeomans,FSDARE9ZE16EDB--J-,Mayank
