## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.inventoryId,entity.modelCode,entity.grade,entity.versionCode,entity.versionDescription,entity.version,entity.fullColour,entity.interiorColor,entity.exteriorColor,entity.fuelConsumption,entity.driveTrain,entity.fuelType,entity.transmission,entity.eimCode,entity.modelSpecCode,entity.dealerId,entity.tmpDealerName,entity.phone,entity.collectionFilter_v2
QASHQAIJ12A_G83GIEF10_RCFG_TDNARE9J12HEBB-3--_24,QASHQAIJ12A N-Connecta,,,,37585,,1,,SJNTBAJ12U1391553,QASHQAIJ12A,N-Connecta,G83GIEF10,190 e-POWER Automatic 2WD N-Connecta,190 e-POWER 2WD,RCFG,G,RCF,54.3 mpg,2WD,Petrol / Electric,Automatic,TDNARE9J12HEBB-3--,29594,51925,Marshall Ashford,1233504140,Mayank
QASHQAIJ12A_G83GIEF10_RCFG_TDNARE9J12HEBB-3--_1,QASHQAIJ12A N-Connecta,,,,37585,,1,,SJNTBAJ12U1395339,QASHQAIJ12A,N-Connecta,G83GIEF10,190 e-POWER Automatic 2WD N-Connecta,190 e-POWER 2WD,RCFG,G,RCF,54.3 mpg,2WD,Petrol / Electric,Automatic,TDNARE9J12HEBB-3--,29594,51270,Yeomans,+01903 820 442,Mayank
QASHQAIJ12A_G83GIEF10_326G_TDNARE9J12HEBB-3--,QASHQAIJ12A N-Connecta,,,,37090,,1,,SJNTBAJ12U1394606,QASHQAIJ12A,N-Connecta,G83GIEF10,190 e-POWER Automatic 2WD N-Connecta,190 e-POWER 2WD,326G,G,326,54.3 mpg,2WD,Petrol / Electric,Automatic,TDNARE9J12HEBB-3--,29594,51876,Glyn Hopkin Ltd,01223 906838,Mayank
X-TrailT33A_H61GG7FC1_KAYG_TDNAREWT33TEA-G---,X-TrailT33A N-Connecta,,,,38015,,1,,JN1T33TC5U0003349,X-TrailT33A,N-Connecta,H61GG7FC1,VC-Turbo 163 Xtronic 2WD N-Connecta,VC-Turbo 163 Mild Hybrid 2WD,KAYG,G,KAY,39.8 mpg,2WD,Petrol,Automatic,TDNAREWT33TEA-G---,29738,51968,Hendy Crawley,01293 853929,Mayank
X-TrailT33A_H61GG7FC1_KAYG_TDNAREWT33TEA-G---_23,X-TrailT33A N-Connecta,,,,38015,,1,,JN1T33TC5U0003349,X-TrailT33A,N-Connecta,H61GG7FC1,VC-Turbo 163 Xtronic 2WD N-Connecta,VC-Turbo 163 Mild Hybrid 2WD,KAYG,G,KAY,39.8 mpg,2WD,Petrol,Automatic,TDNAREWT33TEA-G---,29738,51968,Hendy Crawley,01293 853929,Mayank
X-TrailT33A_H61GG7FC1_QABG_TDNAREWT33TEA-G---,X-TrailT33A N-Connecta,,,,38135,,1,,JN1T33TC9U0003466,X-TrailT33A,N-Connecta,H61GG7FC1,VC-Turbo 163 Xtronic 2WD N-Connecta,VC-Turbo 163 Mild Hybrid 2WD,QABG,G,QAB,39.8 mpg,2WD,Petrol,Automatic,TDNAREWT33TEA-G---,29738,51800,Trenton (Hull),+01482 561350,Mayank
X-TrailT33A_H61GG7FC1_QABG_TDNAREWT33TEA-G---_13,X-TrailT33A N-Connecta,,,,38135,,1,,JN1T33TC9U0003466,X-TrailT33A,N-Connecta,H61GG7FC1,VC-Turbo 163 Xtronic 2WD N-Connecta,VC-Turbo 163 Mild Hybrid 2WD,QABG,G,QAB,39.8 mpg,2WD,Petrol,Automatic,TDNAREWT33TEA-G---,29738,51800,Trenton (Hull),+01482 561350,Mayank
X-TrailT33A_H61GIFFC1_K23G_TDNNRE9T33TEA-G---,X-TrailT33A N-Connecta,,,,42615,,1,,JN1T33TBXU0013446,X-TrailT33A,N-Connecta,H61GIFFC1,e-POWER 213 Automatic 4WD e-4ORCE N-Connecta,e-POWER 213 4WD e-4ORCE,K23G,G,K23,44.8 mpg,2WD,Petrol / Electric,Automatic,TDNNRE9T33TEA-G---,29738,51064,Barton Townley (Barrow) Ltd,+01229 823 131,Mayank
X-TrailT33A_H61GIFFC1_K23G_TDNNRE9T33TEA-G---_2,X-TrailT33A N-Connecta,,,,42615,,1,,JN1T33TBXU0013446,X-TrailT33A,N-Connecta,H61GIFFC1,e-POWER 213 Automatic 4WD e-4ORCE N-Connecta,e-POWER 213 4WD e-4ORCE,K23G,G,K23,44.8 mpg,2WD,Petrol / Electric,Automatic,TDNNRE9T33TEA-G---,29738,51064,Barton Townley (Barrow) Ltd,+01229 823 131,Mayank
X-TrailT33A_H61GIFFC1_KBYG_JDNNRE9T33TEA-G---,X-TrailT33A N-Connecta,,,,43735,,1,,JN1T33JBXU0008900,X-TrailT33A,N-Connecta,H61GIFFC1,e-POWER 213 Automatic 4WD e-4ORCE N-Connecta,e-POWER 213 4WD e-4ORCE,KBYG,G,KBY,44.1 mpg,2WD,Petrol / Electric,Automatic,JDNNRE9T33TEA-G---,29738,51961,West Way Stockport,+0161 475 5510,Mayank
X-TrailT33A_H61GIFFC1_KBYG_JDNNRE9T33TEA-G---_1,X-TrailT33A N-Connecta,,,,43735,,1,,JN1T33JBXU0008900,X-TrailT33A,N-Connecta,H61GIFFC1,e-POWER 213 Automatic 4WD e-4ORCE N-Connecta,e-POWER 213 4WD e-4ORCE,KBYG,G,KBY,44.1 mpg,2WD,Petrol / Electric,Automatic,JDNNRE9T33TEA-G---,29738,51961,West Way Stockport,+0161 475 5510,Mayank
X-TrailT33A_H61GIFFC1_XEWG_JDNNRE9T33TEA-GD--,X-TrailT33A N-Connecta,,,,45130,,1,,JN1T33JB4U0008665,X-TrailT33A,N-Connecta,H61GIFFC1,e-POWER 213 Automatic 4WD e-4ORCE N-Connecta,e-POWER 213 4WD e-4ORCE,XEWG,G,XEW,43.5 mpg,2WD,Petrol / Electric,Automatic,JDNNRE9T33TEA-GD--,29738,51737,J Edgar & Son,+01946 861607,Mayank
X-TrailT33A_H61GIFFC1_XEWG_JDNNRE9T33TEA-GD--_3,X-TrailT33A N-Connecta,,,,45130,,1,,JN1T33JB4U0008665,X-TrailT33A,N-Connecta,H61GIFFC1,e-POWER 213 Automatic 4WD e-4ORCE N-Connecta,e-POWER 213 4WD e-4ORCE,XEWG,G,XEW,43.5 mpg,2WD,Petrol / Electric,Automatic,JDNNRE9T33TEA-GD--,29738,51737,J Edgar & Son,+01946 861607,Mayank
X-TrailT33A_H61GIFFC1_XEWG_JDNNRE9T33TEA-GD--_1,X-TrailT33A N-Connecta,,,,45130,,1,,JN1T33JB5U0009002,X-TrailT33A,N-Connecta,H61GIFFC1,e-POWER 213 Automatic 4WD e-4ORCE N-Connecta,e-POWER 213 4WD e-4ORCE,XEWG,G,XEW,43.5 mpg,2WD,Petrol / Electric,Automatic,JDNNRE9T33TEA-GD--,29738,51897,Marshall Reading,+01184 670 670,Mayank
X-TrailT33A_H61GIFGC1_RBYG_TDNNRG9T33TEA-PX--,X-TrailT33A Tekna,,,,45935,,1,,JN1T33TB2U0013229,X-TrailT33A,Tekna,H61GIFGC1,e-POWER 213 Automatic 4WD e-4ORCE Tekna,e-POWER 213 4WD e-4ORCE,RBYG,G,RBY,43.5 mpg,2WD,Petrol / Electric,Automatic,TDNNRG9T33TEA-PX--,29738,51863,Greenhous Shrewsbury,+01743 454 141,Mayank
X-TrailT33A_H61GIFGC1_RBYG_TDNNRG9T33TEA-PX--_2,X-TrailT33A Tekna,,,,45935,,1,,JN1T33TB2U0013229,X-TrailT33A,Tekna,H61GIFGC1,e-POWER 213 Automatic 4WD e-4ORCE Tekna,e-POWER 213 4WD e-4ORCE,RBYG,G,RBY,43.5 mpg,2WD,Petrol / Electric,Automatic,TDNNRG9T33TEA-PX--,29738,51863,Greenhous Shrewsbury,+01743 454 141,Mayank
X-TrailT33A_H61GIFGC1_NBLG_TDNNRG9T33TEA-PXF-,X-TrailT33A Tekna,,,,46645,,1,,JN1T33TB4U0013832,X-TrailT33A,Tekna,H61GIFGC1,e-POWER 213 Automatic 4WD e-4ORCE Tekna,e-POWER 213 4WD e-4ORCE,NBLG,G,NBL,43.5 mpg,2WD,Petrol / Electric,Automatic,TDNNRG9T33TEA-PXF-,29738,51064,Barton Townley (Barrow) Ltd,+01229 823 131,Mayank
X-TrailT33A_H61GIFGC1_NBLG_TDNNRG9T33TEA-PXF-_1,X-TrailT33A Tekna,,,,46645,,1,,JN1T33TB4U0013832,X-TrailT33A,Tekna,H61GIFGC1,e-POWER 213 Automatic 4WD e-4ORCE Tekna,e-POWER 213 4WD e-4ORCE,NBLG,G,NBL,43.5 mpg,2WD,Petrol / Electric,Automatic,TDNNRG9T33TEA-PXF-,29738,51064,Barton Townley (Barrow) Ltd,+01229 823 131,Mayank
X-TrailT33A_H61GIFGC1_K23G_JDNNRG9T33TEA-PX--,X-TrailT33A Tekna,,,,46935,,1,,JN1T33JB5U0007993,X-TrailT33A,Tekna,H61GIFGC1,e-POWER 213 Automatic 4WD e-4ORCE Tekna,e-POWER 213 4WD e-4ORCE,K23G,G,K23,42.8 mpg,2WD,Petrol / Electric,Automatic,JDNNRG9T33TEA-PX--,29738,51529,Brindley Nissan,+01543 330773,Mayank
X-TrailT33A_H61GIFGC1_K23G_JDNNRG9T33TEA-PX--_1,X-TrailT33A Tekna,,,,46935,,1,,JN1T33JB5U0007993,X-TrailT33A,Tekna,H61GIFGC1,e-POWER 213 Automatic 4WD e-4ORCE Tekna,e-POWER 213 4WD e-4ORCE,K23G,G,K23,42.8 mpg,2WD,Petrol / Electric,Automatic,JDNNRG9T33TEA-PX--,29738,51529,Brindley Nissan,+01543 330773,Mayank
X-TrailT33A_H61GIFGC1_KAYG_JDNNRG9T33TEA-PXF-,X-TrailT33A Tekna,,,,47525,,1,,JN1T33JB3U0009077,X-TrailT33A,Tekna,H61GIFGC1,e-POWER 213 Automatic 4WD e-4ORCE Tekna,e-POWER 213 4WD e-4ORCE,KAYG,G,KAY,42.8 mpg,2WD,Petrol / Electric,Automatic,JDNNRG9T33TEA-PXF-,29738,51893,Trenton (Grimsby),+01472 483555,Mayank
X-TrailT33A_H61GIFGC1_KAYG_JDNNRG9T33TEA-PXF-_1,X-TrailT33A Tekna,,,,47525,,1,,JN1T33JB3U0009077,X-TrailT33A,Tekna,H61GIFGC1,e-POWER 213 Automatic 4WD e-4ORCE Tekna,e-POWER 213 4WD e-4ORCE,KAYG,G,KAY,42.8 mpg,2WD,Petrol / Electric,Automatic,JDNNRG9T33TEA-PXF-,29738,51893,Trenton (Grimsby),+01472 483555,Mayank
LEAFZE1A_E5X569S40_326G_FSDARE9ZE16ED-JFJ-,LEAFZE1A Shiro,,,,28790,,1,,SJNFAAZE1U0198637,LEAFZE1A,Shiro,E5X569S40,Battery 39kWh AT 2WD Shiro,39kWh Battery 2WD,326G,G,326,168 Wh/km,2WD,Electric,Automatic,FSDARE9ZE16ED-JFJ-,29535,51822,Macklin Motors Glasgow South,+0141 876 0004,Mayank
JUKEF16A_F93BI3F01_KADG_FRNARUYF16UEBHUBR-,JUKEF16A N-Connecta,,,,25210,,1,,SJNFAAF16U1296781,JUKEF16A,N-Connecta,F93BI3F01,DIG-T 114 6MT 2WD N-Connecta,DIG-T 114 2WD,KADG,G,KAD,48.7 mpg,2WD,Petrol,Manual,FRNARUYF16UEBHUBR-,29898,51666,Glyn Hopkin Ltd,+01923 215555,Mayank
JUKEF16A_F93BI3F01_KADG_FRNARUYF16UEBHUBR-_5,JUKEF16A N-Connecta,,,,25210,,1,,SJNFAAF16U1296781,JUKEF16A,N-Connecta,F93BI3F01,DIG-T 114 6MT 2WD N-Connecta,DIG-T 114 2WD,KADG,G,KAD,48.7 mpg,2WD,Petrol,Manual,FRNARUYF16UEBHUBR-,29898,51666,Glyn Hopkin Ltd,+01923 215555,Mayank
JUKEF16A_F93BI3F01_326G_FRNARUYF16UEBHUBR-,JUKEF16A N-Connecta,,,,24835,,1,,SJNFAAF16U1281215,JUKEF16A,N-Connecta,F93BI3F01,DIG-T 114 6MT 2WD N-Connecta,DIG-T 114 2WD,326G,G,326,48.7 mpg,2WD,Petrol,Manual,FRNARUYF16UEBHUBR-,29898,51925,Marshall Ashford,1233504140,Mayank
JUKEF16A_F94BI3G01_NBVG_FRNARVYF16UEBLTDRD,JUKEF16A Tekna,,,,26960,,1,,SJNFAAF16U1296864,JUKEF16A,Tekna,F94BI3G01,DIG-T 114 6MT 2WD Tekna,DIG-T 114 2WD,NBVG,G,NBV,47.9 mpg,2WD,Petrol,Manual,FRNARVYF16UEBLTDRD,29898,51929,Barnetts Dundee,+01382 647810,Mayank
JUKEF16A_F94BI3G01_NBVG_FRNARVYF16UEBLTDRD_1,JUKEF16A Tekna,,,,26960,,1,,SJNFAAF16U1296864,JUKEF16A,Tekna,F94BI3G01,DIG-T 114 6MT 2WD Tekna,DIG-T 114 2WD,NBVG,G,NBV,47.9 mpg,2WD,Petrol,Manual,FRNARVYF16UEBLTDRD,29898,51929,Barnetts Dundee,+01382 647810,Mayank
JUKEF16A_F94BI7G01_KY0G_FRNARVLF16UEBLTDRC,JUKEF16A Tekna,,,,28210,,1,,SJNFAAF16U1296980,JUKEF16A,Tekna,F94BI7G01,DIG-T 114 DCT7 2WD Tekna,DIG-T 114 2WD,KY0G,G,KY0,46.3 mpg,2WD,Petrol,Automatic,FRNARVLF16UEBLTDRC,29898,51044,Bristol Street Motors Widnes,+0151 420 2000,Mayank
JUKEF16A_F94BI7G01_KY0G_FRNARVLF16UEBLTDRC_2,JUKEF16A Tekna,,,,28210,,1,,SJNFAAF16U1296980,JUKEF16A,Tekna,F94BI7G01,DIG-T 114 DCT7 2WD Tekna,DIG-T 114 2WD,KY0G,G,KY0,46.3 mpg,2WD,Petrol,Automatic,FRNARVLF16UEBLTDRC,29898,51044,Bristol Street Motors Widnes,+0151 420 2000,Mayank
JUKEF16A_F94HIHF01_KBYG_FDTARUXF16HEB6UBR-,JUKEF16A N-Connecta,,,,28955,,1,,SJNFCAF16U1296672,JUKEF16A,N-Connecta,F94HIHF01,Hybrid 143 2WD N-Connecta,Hybrid 143 2WD,KBYG,G,KBY,56.5 mpg,2WD,Petrol / Electric,Automatic,FDTARUXF16HEB6UBR-,29898,51863,Greenhous Shrewsbury,+01743 454 141,Mayank
JUKEF16A_F94HIHF01_KBYG_FDTARUXF16HEB6UBR-_4,JUKEF16A N-Connecta,,,,28955,,1,,SJNFCAF16U1296672,JUKEF16A,N-Connecta,F94HIHF01,Hybrid 143 2WD N-Connecta,Hybrid 143 2WD,KBYG,G,KBY,56.5 mpg,2WD,Petrol / Electric,Automatic,FDTARUXF16HEB6UBR-,29898,51863,Greenhous Shrewsbury,+01743 454 141,Mayank
JUKEF16A_F94HIHF01_NBVG_FDTARUXF16HEB6UBR-,JUKEF16A N-Connecta,,,,28955,,1,,SJNFCAF16U1295401,JUKEF16A,N-Connecta,F94HIHF01,Hybrid 143 2WD N-Connecta,Hybrid 143 2WD,NBVG,G,NBV,56.5 mpg,2WD,Petrol / Electric,Automatic,FDTARUXF16HEB6UBR-,29898,51889,Macklin Motors Glasgow Central,+0141 332 3432,Mayank
JUKEF16A_F94HIHF01_NBVG_FDTARUXF16HEB6UBR-_6,JUKEF16A N-Connecta,,,,28955,,1,,SJNFCAF16U1295401,JUKEF16A,N-Connecta,F94HIHF01,Hybrid 143 2WD N-Connecta,Hybrid 143 2WD,NBVG,G,NBV,56.5 mpg,2WD,Petrol / Electric,Automatic,FDTARUXF16HEB6UBR-,29898,51889,Macklin Motors Glasgow Central,+0141 332 3432,Mayank
JUKEF16A_F94HIHHA1_XEEZ_FDTARWXF16HEB4TDUP,JUKEF16A Tekna+,,,,31280,,1,,SJNFCAF16U1295299,JUKEF16A,Tekna+,F94HIHHA1,Hybrid 143 2WD Tekna+,Hybrid 143 2WD,XEEZ,Z,XEE,57.6 mpg,2WD,Petrol / Electric,Automatic,FDTARWXF16HEB4TDUP,29898,51893,Trenton (Grimsby),+01472 483555,Mayank
JUKEF16A_F94HIHHA1_XEEZ_FDTARWXF16HEB4TDUP_1,JUKEF16A Tekna+,,,,31280,,1,,SJNFCAF16U1295299,JUKEF16A,Tekna+,F94HIHHA1,Hybrid 143 2WD Tekna+,Hybrid 143 2WD,XEEZ,Z,XEE,57.6 mpg,2WD,Petrol / Electric,Automatic,FDTARWXF16HEB4TDUP,29898,51893,Trenton (Grimsby),+01472 483555,Mayank
QASHQAIJ12A_G83EG3F10_QABG_TDZAREYJ12TEBB-3E-,QASHQAIJ12A N-Connecta,,,,33435,,1,,SJNTAAJ12U1394649,QASHQAIJ12A,N-Connecta,G83EG3F10,DIG-T 140 Mild Hybrid Manual 2WD N-Connecta,DIG-T 140 Mild Hybrid 2WD,QABG,G,QAB,44.1 mpg,2WD,Petrol,Manual,TDZAREYJ12TEBB-3E-,29594,51858,Bristol Street Motors,+01604 773 770,Mayank
QASHQAIJ12A_G83EG3F10_QABG_TDZAREYJ12TEBB-3E-_3,QASHQAIJ12A N-Connecta,,,,33435,,1,,SJNTAAJ12U1394649,QASHQAIJ12A,N-Connecta,G83EG3F10,DIG-T 140 Mild Hybrid Manual 2WD N-Connecta,DIG-T 140 Mild Hybrid 2WD,QABG,G,QAB,44.1 mpg,2WD,Petrol,Manual,TDZAREYJ12TEBB-3E-,29594,51858,Bristol Street Motors,+01604 773 770,Mayank
QASHQAIJ12A_G83EH3H00_NBVB_TDZARJYJ12UEBTJW--,QASHQAIJ12A Tekna+,,,,38685,,1,,SJNTAAJ12U1394643,QASHQAIJ12A,Tekna+,G83EH3H00,DIG-T 158 Mild Hybrid Manual 2WD Tekna+,DIG-T 158 Mild Hybrid 2WD,NBVB,B,NBV,44.1 mpg,2WD,Petrol,Manual,TDZARJYJ12UEBTJW--,29594,51214,Hurst Nissan Centre,+028 9038 3527,Mayank
QASHQAIJ12A_G83EH3H00_NBVB_TDZARJYJ12UEBTJW--_1,QASHQAIJ12A Tekna+,,,,38685,,1,,SJNTAAJ12U1394643,QASHQAIJ12A,Tekna+,G83EH3H00,DIG-T 158 Mild Hybrid Manual 2WD Tekna+,DIG-T 158 Mild Hybrid 2WD,NBVB,B,NBV,44.1 mpg,2WD,Petrol,Manual,TDZARJYJ12UEBTJW--,29594,51214,Hurst Nissan Centre,+028 9038 3527,Mayank
QASHQAIJ12A_G83EH7F10_Z10G_TDZAREWJ12UEB--3--,QASHQAIJ12A N-Connecta,,,,34210,,1,,SJNTAAJ12U1399162,QASHQAIJ12A,N-Connecta,G83EH7F10,DIG-T 158 Mild Hybrid Xtronic 2WD N-Connecta,DIG-T 158 Mild Hybrid 2WD,Z10G,G,Z10,44.8 mpg,2WD,Petrol,Automatic,TDZAREWJ12UEB--3--,29594,51607,Hendy,+01202 532100,Mayank
QASHQAIJ12A_G83EH7F10_Z10G_TDZAREWJ12UEB--3--_2,QASHQAIJ12A N-Connecta,,,,34210,,1,,SJNTAAJ12U1399162,QASHQAIJ12A,N-Connecta,G83EH7F10,DIG-T 158 Mild Hybrid Xtronic 2WD N-Connecta,DIG-T 158 Mild Hybrid 2WD,Z10G,G,Z10,44.8 mpg,2WD,Petrol,Automatic,TDZAREWJ12UEB--3--,29594,51607,Hendy,+01202 532100,Mayank
QASHQAIJ12A_G83EH7F10_Z11G_TDZAREWJ12UEB--3--,QASHQAIJ12A N-Connecta,,,,34835,,1,,SJNTAAJ12U1398753,QASHQAIJ12A,N-Connecta,G83EH7F10,DIG-T 158 Mild Hybrid Xtronic 2WD N-Connecta,DIG-T 158 Mild Hybrid 2WD,Z11G,G,Z11,44.8 mpg,2WD,Petrol,Automatic,TDZAREWJ12UEB--3--,29594,51849,Bristol Street Motors Bradford,+01274 381 111,Mayank
QASHQAIJ12A_G83EH7F10_Z11G_TDZAREWJ12UEB--3--_11,QASHQAIJ12A N-Connecta,,,,34835,,1,,SJNTAAJ12U1398753,QASHQAIJ12A,N-Connecta,G83EH7F10,DIG-T 158 Mild Hybrid Xtronic 2WD N-Connecta,DIG-T 158 Mild Hybrid 2WD,Z11G,G,Z11,44.8 mpg,2WD,Petrol,Automatic,TDZAREWJ12UEB--3--,29594,51849,Bristol Street Motors Bradford,+01274 381 111,Mayank
